feature,score
A2AM,1
BAM,0.9090909090909091
A1D,0.8181818181818181
X6AM,0.7272727272727273
solvent,0.6363636363636364
A4AM,0.5454545454545454
A3AM,0.4545454545454546
X3AM,0.36363636363636365
X5AM,0.2727272727272727
X4AM,0.18181818181818177
X2AM,0.09090909090909083
X1AM,0
A1MP,NA
A1NN,NA
BE,NA
A3MP,NA
A1AR,NA
BFI,NA
A4MP,NA
A2MP,NA
