A-BalabanJ,A-BertzCT,A-Chi0,A-Chi0n,A-Chi0v,A-Chi1,A-Chi1n,A-Chi1v,A-Chi2n,A-Chi2v,A-Chi3n,A-Chi3v,A-Chi4n,A-Chi4v,A-EState_VSA1,A-EState_VSA10,A-EState_VSA2,A-EState_VSA3,A-EState_VSA4,A-EState_VSA5,A-EState_VSA6,A-EState_VSA7,A-EState_VSA8,A-EState_VSA9,A-ExactMolWt,A-FractionCSP3,A-HallKierAlpha,A-HeavyAtomCount,A-HeavyAtomMolWt,A-Ipc,A-Kappa1,A-Kappa2,A-Kappa3,A-LabuteASA,A-MaxAbsEStateIndex,A-MaxAbsPartialCharge,A-MaxEStateIndex,A-MaxPartialCharge,A-MinAbsEStateIndex,A-MinAbsPartialCharge,A-MinEStateIndex,A-MinPartialCharge,A-MolLogP,A-MolMR,A-MolWt,A-NHOHCount,A-NOCount,A-NumAromaticHeterocycles,A-NumAromaticRings,A-NumHAcceptors,A-NumHDonors,A-NumHeteroatoms,A-NumRotatableBonds,A-NumValenceElectrons,A-PEOE_VSA1,A-PEOE_VSA10,A-PEOE_VSA14,A-PEOE_VSA3,A-PEOE_VSA4,A-PEOE_VSA5,A-PEOE_VSA6,A-PEOE_VSA7,A-PEOE_VSA8,A-PEOE_VSA9,B-BalabanJ,B-BertzCT,B-Chi0,B-Chi0n,B-Chi0v,B-Chi1,B-Chi1n,B-Chi1v,B-Chi2n,B-Chi2v,B-Chi3n,B-Chi3v,B-Chi4n,B-Chi4v,B-EState_VSA1,B-EState_VSA10,B-EState_VSA2,B-EState_VSA3,B-EState_VSA4,B-EState_VSA5,B-EState_VSA6,B-EState_VSA7,B-EState_VSA8,B-EState_VSA9,B-ExactMolWt,B-FractionCSP3,B-HallKierAlpha,B-HeavyAtomCount,B-HeavyAtomMolWt,B-Ipc,B-Kappa1,B-Kappa2,B-Kappa3,B-LabuteASA,B-MaxAbsEStateIndex,B-MaxAbsPartialCharge,B-MaxEStateIndex,B-MaxPartialCharge,B-MinAbsEStateIndex,B-MinAbsPartialCharge,B-MinEStateIndex,B-MinPartialCharge,B-MolLogP,B-MolMR,B-MolWt,B-NHOHCount,B-NOCount,B-NumAromaticCarbocycles,B-NumAromaticRings,B-NumHAcceptors,B-NumHDonors,B-NumHeteroatoms,B-NumRotatableBonds,B-NumValenceElectrons,B-PEOE_VSA1,B-PEOE_VSA10,B-PEOE_VSA14,B-PEOE_VSA3,B-PEOE_VSA4,B-PEOE_VSA5,B-PEOE_VSA6,B-PEOE_VSA7,B-PEOE_VSA8,B-PEOE_VSA9,Time,Photocurrent
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,2,2,4,1,5,4,102,10.006,5.687,5.969,4.795,5.114,5.114,12.133,36.398,19.783,11.251,20,2.76E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,2,2,4,1,5,4,102,10.006,5.687,5.969,4.795,5.114,5.114,12.133,36.398,19.783,11.251,60,2.90E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,2,2,4,1,5,4,102,10.006,5.687,5.969,4.795,5.114,5.114,12.133,36.398,19.783,11.251,100,3.28E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,2,2,4,1,5,4,102,10.006,5.687,5.969,4.795,5.114,5.114,12.133,36.398,19.783,11.251,140,3.47E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,2.232,633.822,14.535,11.316,11.316,9.575,6.092,6.092,4.433,4.433,2.774,2.774,1.671,1.671,5.969,4.795,5.563,11.375,5.687,6.066,18.199,43.261,10.229,5.107,269.116,0.133,-2.69,20,254.184,34197.453,13.735,5.968,3.198,116.746,11.046,0.478,11.046,0.337,0.14,0.337,-1.012,-0.478,3.866,78.346,269.304,1,5,2,2,4,1,5,4,102,10.006,5.687,5.969,4.795,5.114,5.114,12.133,36.398,19.783,11.251,180,3.56E-08
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,1.947,1791.046,20.309,15.068,15.068,14.542,9.276,9.276,7.497,7.497,6.152,6.152,4.958,4.958,22.502,19.178,0,32.317,32.317,0,24.265,24.265,0,8.834,392.032,0,-4.32,30,384.258,14858918.6,15.585,4.803,1.584,163.735,12.324,0.386,12.324,0.346,0.345,0.346,-0.666,-0.386,3.546,114.648,392.322,0,6,5,7,6,0,6,0,140,8.834,0,22.502,19.178,0,0,24.265,56.583,10.772,21.545,20,4.89E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,1.947,1791.046,20.309,15.068,15.068,14.542,9.276,9.276,7.497,7.497,6.152,6.152,4.958,4.958,22.502,19.178,0,32.317,32.317,0,24.265,24.265,0,8.834,392.032,0,-4.32,30,384.258,14858918.6,15.585,4.803,1.584,163.735,12.324,0.386,12.324,0.346,0.345,0.346,-0.666,-0.386,3.546,114.648,392.322,0,6,5,7,6,0,6,0,140,8.834,0,22.502,19.178,0,0,24.265,56.583,10.772,21.545,60,4.01E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,1.947,1791.046,20.309,15.068,15.068,14.542,9.276,9.276,7.497,7.497,6.152,6.152,4.958,4.958,22.502,19.178,0,32.317,32.317,0,24.265,24.265,0,8.834,392.032,0,-4.32,30,384.258,14858918.6,15.585,4.803,1.584,163.735,12.324,0.386,12.324,0.346,0.345,0.346,-0.666,-0.386,3.546,114.648,392.322,0,6,5,7,6,0,6,0,140,8.834,0,22.502,19.178,0,0,24.265,56.583,10.772,21.545,100,3.33E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,1.947,1791.046,20.309,15.068,15.068,14.542,9.276,9.276,7.497,7.497,6.152,6.152,4.958,4.958,22.502,19.178,0,32.317,32.317,0,24.265,24.265,0,8.834,392.032,0,-4.32,30,384.258,14858918.6,15.585,4.803,1.584,163.735,12.324,0.386,12.324,0.346,0.345,0.346,-0.666,-0.386,3.546,114.648,392.322,0,6,5,7,6,0,6,0,140,8.834,0,22.502,19.178,0,0,24.265,56.583,10.772,21.545,140,2.86E-07
2.48,569.479,13.121,9.069,9.069,8.575,4.968,4.968,3.47,3.47,2.276,2.276,1.407,1.407,11.939,9.589,11.127,11.388,0,36.659,0,0,9.968,10.213,244.048,0,-2.76,18,236.142,12779.802,11.717,4.622,2.32,101.569,10.817,0.478,10.817,0.335,0.072,0.335,-1.076,-0.478,1.54,61.387,244.206,2,6,2,2,4,2,6,3,90,10.213,0,11.939,9.589,0,0,0,24.265,12.394,22.515,1.947,1791.046,20.309,15.068,15.068,14.542,9.276,9.276,7.497,7.497,6.152,6.152,4.958,4.958,22.502,19.178,0,32.317,32.317,0,24.265,24.265,0,8.834,392.032,0,-4.32,30,384.258,14858918.6,15.585,4.803,1.584,163.735,12.324,0.386,12.324,0.346,0.345,0.346,-0.666,-0.386,3.546,114.648,392.322,0,6,5,7,6,0,6,0,140,8.834,0,22.502,19.178,0,0,24.265,56.583,10.772,21.545,180,2.52E-07
