fomula,homo,lumo,band gap,cosmoname,cosmodata
CsCsCsCsPbClClClClBrBr,-0.19242,-0.03267,0.15975,Methylene chloride,9.0800
CsCsCsCsPbClClClClClBr,-0.20119,-0.03839,0.1628,Dimethyl sulfoxide,46.7000
CsCsCsCsPbClClClClClI,-0.18403,-0.03238,0.15165,Diethyl ether,4.3350
CsCsCsCsPbFBrBrBrBrI,-0.19502,-0.04608,0.14894,Methanol,32.6300
CsCsCsCsPbFBrBrIII,-0.19564,-0.05573,0.13991,Acetonitrile,37.5000
CsCsCsCsPbFClClBrBrBr,-0.1659,-0.02723,0.13867,n-hexane,1.8900
CsCsCsCsPbFClClBrII,-0.18951,-0.04408,0.14543,Methylene chloride,9.0800
CsCsCsCsPbFFClBrII,-0.17681,-0.03003,0.14678,Diethyl ether,4.3350
CsCsCsCsPbFFClClClBr,-0.16506,-0.02167,0.14339,n-hexadecane,2.0600
CsCsCsCsPbFFClIII,-0.16772,-0.06709,0.10063,n-hexane,1.8900
CsCsCsCsPbFFFClBrI,-0.18662,-0.02676,0.15986,Nitrobenzene,35.7000
CsCsCsCsPbFFFClClI,-0.18831,-0.02634,0.16197,Acetonitrile,37.5000
CsCsCsCsPbFFFFBrI,-0.19711,-0.04361,0.1535,Chlorofom,4.8060
CsCsCsCsPbFFFFClBr,-0.20746,-0.03882,0.16864,Ethanol,24.3000
CsCsCsCsPbFFFFClI,-0.17481,-0.04993,0.12488,n-hexane,1.8900
CsCsCsCsPbFFFFFCl,-0.18722,-0.03829,0.14893,Carbon tetrachloride,2.2380
CsCsCsCsSnBrBrBrBrBrI,-0.16308,-0.04437,0.11871,Benzene,2.2840
CsCsCsCsSnClBrIIII,-0.15745,-0.04237,0.11508,n-hexadecane,2.0600
CsCsCsCsSnClClClClClBr,-0.17804,-0.0394,0.13864,Pyridine,12.3000
CsCsCsCsSnClClClIII,-0.15905,-0.03468,0.12437,n-hexane,1.8900
CsCsCsCsSnClClIIII,-0.18663,-0.06882,0.11781,Water,78.5400
CsCsCsCsSnFBrBrBrII,-0.15224,-0.04289,0.10935,n-hexane,1.8900
CsCsCsCsSnFBrBrIII,-0.17621,-0.04697,0.12924,Ethanol,24.3000
CsCsCsCsSnFClBrBrBrBr,-0.16935,-0.03225,0.1371,Methylene chloride,9.0800
CsCsCsCsSnFClBrBrBrI,-0.165,-0.03199,0.13301,Chlorofom,4.8060
CsCsCsCsSnFClClBrII,-0.18443,-0.05539,0.12904,Dimethyl sulfoxide,46.7000
CsCsCsCsSnFFClClBrBr,-0.16656,-0.02444,0.14212,Ethanol,24.3000
CsCsCsCsSnFFClClBrI,-0.17274,-0.03042,0.14232,Methanol,32.6300
CsCsCsCsSnFFClClClBr,-0.13642,-0.02177,0.11465,n-hexane,1.8900
CsCsCsCsSnFFFBrBrBr,-0.17321,-0.0347,0.13851,Acetonitrile,37.5000
CsCsCsCsSnFFFBrII,-0.16436,-0.02998,0.13438,Diethyl ether,4.3350
CsCsCsCsSnFFFClBrBr,-0.16083,-0.02675,0.13408,Chlorofom,4.8060
CsCsCsCsSnFFFClBrI,-0.14815,-0.03232,0.11583,n-hexane,1.8900
CsCsCsCsSnFFFClClI,-0.17968,-0.03891,0.14077,Nitrobenzene,35.7000
CsCsCsCsSnFFFFBrI,-0.15025,-0.03163,0.11862,Carbon tetrachloride,2.2380
CsCsCsCsSnFFFFClCl,-0.19696,-0.05032,0.14664,Pyridine,12.3000
KCsCsCsGeBrBrBrIII,-0.18924,-0.06008,0.12916,Acetonitrile,37.5000
KCsCsCsGeBrBrIIII,-0.18554,-0.06951,0.11603,Methylene chloride,9.0800
KCsCsCsGeClClBrBrBrI,-0.17092,-0.05286,0.11806,n-hexadecane,2.0600
KCsCsCsGeClClBrBrII,-0.19247,-0.07835,0.11412,Methanol,32.6300
KCsCsCsGeClClBrIII,-0.16771,-0.07041,0.0973,n-hexadecane,2.0600
KCsCsCsGeClClClClBrBr,-0.18948,-0.05613,0.13335,Acetonitrile,37.5000
KCsCsCsGeClClClClII,-0.18647,-0.06811,0.11836,Chlorofom,4.8060
KCsCsCsGeClIIIII,-0.18476,-0.05456,0.1302,Dimethyl sulfoxide,46.7000
KCsCsCsGeFBrBrBrBrBr,-0.187,-0.03913,0.14787,Methylene chloride,9.0800
KCsCsCsGeFBrBrBrII,-0.19772,-0.07451,0.12321,Dimethyl sulfoxide,46.7000
KCsCsCsGeFBrIIII,-0.19144,-0.07393,0.11751,Pyridine,12.3000
KCsCsCsGeFClBrBrBrBr,-0.16906,-0.04967,0.11939,Benzene,2.2840
KCsCsCsGeFClBrBrBrI,-0.18154,-0.04046,0.14108,Acetone,20.7000
KCsCsCsGeFClBrIII,-0.18842,-0.06565,0.12277,Water,78.5400
KCsCsCsGeFClClIII,-0.18764,-0.06485,0.12279,Methylene chloride,9.0800
KCsCsCsGeFFBrBrBrBr,-0.1868,-0.05237,0.13443,Methanol,32.6300
KCsCsCsGeFFClBrBrBr,-0.19996,-0.06013,0.13983,Pyridine,12.3000
KCsCsCsGeFFClClBrI,-0.18723,-0.03956,0.14767,Methanol,32.6300
KCsCsCsGeFFClClClBr,-0.15934,-0.05099,0.10835,n-hexadecane,2.0600
KCsCsCsGeFFFBrBrBr,-0.1934,-0.0375,0.1559,Dimethyl sulfoxide,46.7000
KCsCsCsGeFFFClBrI,-0.20338,-0.04976,0.15362,Methanol,32.6300
KCsCsCsGeFFFClClBr,-0.17692,-0.02224,0.15468,Methanol,32.6300
KCsCsCsGeFFFClClCl,-0.18789,-0.028,0.15989,Pyridine,12.3000
KCsCsCsGeFFFClClI,-0.16665,-0.06005,0.1066,Benzene,2.2840
KCsCsCsGeFFFFBrI,-0.18136,-0.02402,0.15734,Methylene chloride,9.0800
KCsCsCsGeFFFFClCl,-0.18446,-0.05145,0.13301,Benzene,2.2840
KCsCsCsGeFFFFFBr,-0.18188,-0.04888,0.133,Carbon tetrachloride,2.2380
KCsCsCsGeFFIIII,-0.15434,-0.04194,0.1124,n-hexane,1.8900
KCsCsCsGeFIIIII,-0.18725,-0.05353,0.13372,Acetone,20.7000
KCsCsCsGeIIIIII,-0.17234,-0.0437,0.12864,Diethyl ether,4.3350
KCsCsCsPbBrBrBrBrBrBr,-0.2001,-0.04811,0.15199,Nitrobenzene,35.7000
KCsCsCsPbBrBrBrIII,-0.18849,-0.05025,0.13824,Chlorofom,4.8060
KCsCsCsPbBrIIIII,-0.17943,-0.04654,0.13289,Carbon tetrachloride,2.2380
KCsCsCsPbClBrBrBrBrBr,-0.19731,-0.04439,0.15292,Pyridine,12.3000
KCsCsCsPbClBrBrIII,-0.1922,-0.05167,0.14053,Methylene chloride,9.0800
KCsCsCsPbClClClClClBr,-0.19932,-0.03761,0.16171,Pyridine,12.3000
KCsCsCsPbClClClIII,-0.18787,-0.04768,0.14019,Chlorofom,4.8060
KCsCsCsPbClClIIII,-0.1976,-0.05805,0.13955,Ethanol,24.3000
KCsCsCsPbFBrBrBrII,-0.19721,-0.05237,0.14484,Acetonitrile,37.5000
KCsCsCsPbFClBrIII,-0.18362,-0.04233,0.14129,Chlorofom,4.8060
KCsCsCsPbFClClBrBrBr,-0.21234,-0.07546,0.13688,Dimethyl sulfoxide,46.7000
KCsCsCsPbFClClBrII,-0.19162,-0.0448,0.14682,Methylene chloride,9.0800
KCsCsCsPbFClClClBrI,-0.19815,-0.04462,0.15353,Acetonitrile,37.5000
KCsCsCsPbFClClClClBr,-0.19875,-0.03657,0.16218,Ethanol,24.3000
KCsCsCsPbFClClIII,-0.17842,-0.04217,0.13625,Benzene,2.2840
KCsCsCsPbFFClClBrI,-0.18864,-0.04919,0.13945,Chlorofom,4.8060
KCsCsCsPbFFClClClCl,-0.17275,-0.02284,0.14991,Benzene,2.2840
KCsCsCsPbFFClClClI,-0.21289,-0.05585,0.15704,Acetonitrile,37.5000
KCsCsCsPbFFFBrBrI,-0.19067,-0.03318,0.15749,Nitrobenzene,35.7000
KCsCsCsPbFFFFBrBr,-0.16256,-0.02256,0.14,Carbon tetrachloride,2.2380
KCsCsCsPbFFFFClCl,-0.19784,-0.03957,0.15827,Diethyl ether,4.3350
KCsCsCsPbFFFFFBr,-0.19272,-0.03475,0.15797,Methylene chloride,9.0800
KCsCsCsPbFIIIII,-0.17719,-0.04649,0.1307,Benzene,2.2840
KCsCsCsSnClBrBrIII,-0.18795,-0.07851,0.10944,Acetone,20.7000
KCsCsCsSnClClBrIII,-0.18776,-0.06444,0.12332,Methanol,32.6300
KCsCsCsSnClClClBrBrI,-0.18417,-0.05168,0.13249,Nitrobenzene,35.7000
KCsCsCsSnClClClBrII,-0.15809,-0.04368,0.11441,Carbon tetrachloride,2.2380
KCsCsCsSnClClClClClBr,-0.15555,-0.02655,0.129,n-hexadecane,2.0600
KCsCsCsSnClClClClClCl,-0.18231,-0.04026,0.14205,Pyridine,12.3000
KCsCsCsSnClIIIII,-0.17537,-0.05231,0.12306,Methylene chloride,9.0800
KCsCsCsSnFClBrBrBrI,-0.16366,-0.02948,0.13418,Diethyl ether,4.3350
KCsCsCsSnFClClBrBrBr,-0.16833,-0.04586,0.12247,n-hexadecane,2.0600
KCsCsCsSnFClClBrBrI,-0.17881,-0.03753,0.14128,Methanol,32.6300
KCsCsCsSnFClClClBrBr,-0.17783,-0.03079,0.14704,Acetone,20.7000
KCsCsCsSnFClClClBrI,-0.18112,-0.04453,0.13659,Pyridine,12.3000
KCsCsCsSnFClClClClCl,-0.17162,-0.0245,0.14712,Pyridine,12.3000
KCsCsCsSnFClClIII,-0.15252,-0.0333,0.11922,n-hexadecane,2.0600
KCsCsCsSnFFClBrII,-0.17211,-0.03309,0.13902,Acetone,20.7000
KCsCsCsSnFFClClBrBr,-0.17262,-0.02856,0.14406,Water,78.5400
KCsCsCsSnFFClClBrI,-0.17709,-0.03674,0.14035,Nitrobenzene,35.7000
KCsCsCsSnFFClClClBr,-0.16877,-0.02422,0.14455,Dimethyl sulfoxide,46.7000
KCsCsCsSnFFClClII,-0.17755,-0.03717,0.14038,Methanol,32.6300
KCsCsCsSnFFFBrBrI,-0.16342,-0.02737,0.13605,Chlorofom,4.8060
KCsCsCsSnFFFClClCl,-0.16391,-0.02206,0.14185,Methylene chloride,9.0800
KCsCsCsSnFFFClClI,-0.15621,-0.03111,0.1251,n-hexane,1.8900
KCsCsCsSnFFFClII,-0.18641,-0.05843,0.12798,Carbon tetrachloride,2.2380
KCsCsCsSnFFFFClBr,-0.17278,-0.0219,0.15088,Nitrobenzene,35.7000
KCsCsCsSnFFFFFCl,-0.20432,-0.04914,0.15518,Pyridine,12.3000
KCsCsCsSnFFFFFF,-0.18639,-0.04226,0.14413,Carbon tetrachloride,2.2380
KCsCsCsSnFIIIII,-0.18132,-0.05208,0.12924,Methanol,32.6300
KCsCsCsSnIIIIII,-0.17104,-0.04777,0.12327,Chlorofom,4.8060
KKCsCsGeBrBrBrBrBrBr,-0.16426,-0.03103,0.13323,n-hexane,1.8900
KKCsCsGeClClBrIII,-0.19642,-0.07574,0.12068,Methanol,32.6300
KKCsCsGeClClClBrII,-0.20066,-0.0861,0.11456,Acetone,20.7000
KKCsCsGeClClClClBrBr,-0.19192,-0.04279,0.14913,Methanol,32.6300
KKCsCsGeClClClClBrI,-0.19343,-0.05966,0.13377,Methanol,32.6300
KKCsCsGeClClClClClBr,-0.1765,-0.06314,0.11336,Benzene,2.2840
KKCsCsGeClClClClII,-0.19645,-0.05388,0.14257,Acetonitrile,37.5000
KKCsCsGeFBrBrBrBrBr,-0.18265,-0.07702,0.10563,n-hexadecane,2.0600
KKCsCsGeFClBrBrBrBr,-0.18045,-0.0604,0.12005,n-hexane,1.8900
KKCsCsGeFClBrBrII,-0.20121,-0.08109,0.12012,Ethanol,24.3000
KKCsCsGeFClClBrBrBr,-0.21818,-0.06861,0.14957,Chlorofom,4.8060
KKCsCsGeFClClClBrBr,-0.20155,-0.04396,0.15759,Nitrobenzene,35.7000
KKCsCsGeFFBrBrBrI,-0.19235,-0.06034,0.13201,Carbon tetrachloride,2.2380
KKCsCsGeFFBrBrII,-0.17903,-0.04178,0.13725,Chlorofom,4.8060
KKCsCsGeFFClBrBrBr,-0.17292,-0.05808,0.11484,Benzene,2.2840
KKCsCsGeFFClBrBrI,-0.18989,-0.04539,0.1445,Nitrobenzene,35.7000
KKCsCsGeFFClBrII,-0.17658,-0.03427,0.14231,Methylene chloride,9.0800
KKCsCsGeFFClClClBr,-0.18026,-0.03126,0.149,Acetone,20.7000
KKCsCsGeFFClClClCl,-0.19565,-0.05073,0.14492,Chlorofom,4.8060
KKCsCsGeFFFBrBrBr,-0.18397,-0.03561,0.14836,Methylene chloride,9.0800
KKCsCsGeFFFBrBrI,-0.18418,-0.03141,0.15277,Nitrobenzene,35.7000
KKCsCsGeFFFFBrBr,-0.20431,-0.04041,0.1639,Methylene chloride,9.0800
KKCsCsGeFFFFBrI,-0.20761,-0.0377,0.16991,Methanol,32.6300
KKCsCsGeFFFFFCl,-0.19678,-0.02605,0.17073,Water,78.5400
KKCsCsGeFFFFFF,-0.19686,-0.03525,0.16161,Pyridine,12.3000
KKCsCsGeFFFFFI,-0.19518,-0.04286,0.15232,Methylene chloride,9.0800
KKCsCsGeFIIIII,-0.1809,-0.0525,0.1284,Chlorofom,4.8060
KKCsCsPbBrBrBrBrBrBr,-0.18207,-0.03657,0.1455,n-hexane,1.8900
KKCsCsPbBrBrBrBrBrI,-0.18222,-0.04031,0.14191,n-hexadecane,2.0600
KKCsCsPbBrBrBrIII,-0.18344,-0.04738,0.13606,Carbon tetrachloride,2.2380
KKCsCsPbClClBrBrBrBr,-0.20348,-0.04842,0.15506,Nitrobenzene,35.7000
KKCsCsPbClClClClBrI,-0.20163,-0.04857,0.15306,Acetonitrile,37.5000
KKCsCsPbClClClIII,-0.18197,-0.0443,0.13767,Benzene,2.2840
KKCsCsPbClIIIII,-0.20123,-0.06378,0.13745,Acetonitrile,37.5000
KKCsCsPbFClClBrII,-0.17739,-0.03678,0.14061,Carbon tetrachloride,2.2380
KKCsCsPbFClClClBrBr,-0.2017,-0.04045,0.16125,Nitrobenzene,35.7000
KKCsCsPbFClClClClBr,-0.2104,-0.05528,0.15512,Nitrobenzene,35.7000
KKCsCsPbFClClIII,-0.20771,-0.07687,0.13084,Water,78.5400
KKCsCsPbFFBrIII,-0.17565,-0.036,0.13965,Benzene,2.2840
KKCsCsPbFFFClBrI,-0.18467,-0.04916,0.13551,n-hexane,1.8900
KKCsCsPbFFFFBrI,-0.19228,-0.02807,0.16421,Dimethyl sulfoxide,46.7000
KKCsCsPbFFFFClCl,-0.21104,-0.03897,0.17207,Methylene chloride,9.0800
KKCsCsPbFFFFFCl,-0.21283,-0.02965,0.18318,Water,78.5400
KKCsCsPbFFFFFI,-0.17471,-0.03816,0.13655,n-hexane,1.8900
KKCsCsPbFFFFII,-0.18584,-0.06232,0.12352,Diethyl ether,4.3350
KKCsCsPbIIIIII,-0.18532,-0.05479,0.13053,Carbon tetrachloride,2.2380
KKCsCsSnBrBrBrBrBrBr,-0.1767,-0.04257,0.13413,Methylene chloride,9.0800
KKCsCsSnBrBrBrIII,-0.18327,-0.05695,0.12632,Pyridine,12.3000
KKCsCsSnBrIIIII,-0.15948,-0.0424,0.11708,Benzene,2.2840
KKCsCsSnClBrBrBrII,-0.18148,-0.04903,0.13245,Methanol,32.6300
KKCsCsSnClClBrBrBrBr,-0.19209,-0.09231,0.09978,n-hexane,1.8900
KKCsCsSnClClBrBrBrI,-0.16041,-0.03255,0.12786,Benzene,2.2840
KKCsCsSnClClBrBrII,-0.16413,-0.03753,0.1266,n-hexadecane,2.0600
KKCsCsSnClClClClClCl,-0.17711,-0.02858,0.14853,Acetonitrile,37.5000
KKCsCsSnClClClClII,-0.17728,-0.04083,0.13645,Pyridine,12.3000
KKCsCsSnClIIIII,-0.17145,-0.06309,0.10836,n-hexadecane,2.0600
KKCsCsSnFBrBrIII,-0.17729,-0.04714,0.13015,Chlorofom,4.8060
KKCsCsSnFClBrBrBrI,-0.18266,-0.04476,0.1379,Methanol,32.6300
KKCsCsSnFClClClBrI,-0.16869,-0.0397,0.12899,n-hexane,1.8900
KKCsCsSnFClClClClBr,-0.18443,-0.03157,0.15286,Acetone,20.7000
KKCsCsSnFClClClClCl,-0.17507,-0.0258,0.14927,Acetone,20.7000
KKCsCsSnFClIIII,-0.16857,-0.04847,0.1201,Diethyl ether,4.3350
KKCsCsSnFFBrBrBrI,-0.14992,-0.02958,0.12034,n-hexane,1.8900
KKCsCsSnFFClBrBrI,-0.16186,-0.02551,0.13635,Diethyl ether,4.3350
KKCsCsSnFFClBrII,-0.19523,-0.05768,0.13755,Nitrobenzene,35.7000
KKCsCsSnFFClClBrI,-0.17719,-0.03462,0.14257,Methanol,32.6300
KKCsCsSnFFFClBrI,-0.14701,-0.0275,0.11951,n-hexane,1.8900
KKCsCsSnFFFClClBr,-0.17115,-0.02083,0.15032,Pyridine,12.3000
KKCsCsSnFFFClClCl,-0.17415,-0.01994,0.15421,Nitrobenzene,35.7000
KKCsCsSnFFFClClI,-0.16965,-0.02175,0.1479,Methylene chloride,9.0800
KKCsCsSnFFFClII,-0.17984,-0.03332,0.14652,Dimethyl sulfoxide,46.7000
KKKCsGeBrBrBrBrBrBr,-0.1919,-0.0603,0.1316,Acetonitrile,37.5000
KKKCsGeBrBrIIII,-0.18655,-0.0562,0.13035,Ethanol,24.3000
KKKCsGeBrIIIII,-0.18696,-0.05675,0.13021,Ethanol,24.3000
KKKCsGeClClBrBrBrI,-0.17423,-0.07012,0.10411,n-hexane,1.8900
KKKCsGeClClBrBrII,-0.18615,-0.04802,0.13813,Acetone,20.7000
KKKCsGeClClClClClBr,-0.19567,-0.05981,0.13586,Ethanol,24.3000
KKKCsGeClIIIII,-0.19119,-0.06045,0.13074,Ethanol,24.3000
KKKCsGeFBrBrBrII,-0.19875,-0.07734,0.12141,Methylene chloride,9.0800
KKKCsGeFClClBrBrI,-0.19895,-0.07154,0.12741,Pyridine,12.3000
KKKCsGeFClClBrII,-0.18479,-0.07438,0.11041,Diethyl ether,4.3350
KKKCsGeFClClClClCl,-0.20516,-0.03567,0.16949,Acetonitrile,37.5000
KKKCsGeFFBrIII,-0.19087,-0.0671,0.12377,Ethanol,24.3000
KKKCsGeFFClBrBrBr,-0.21192,-0.06237,0.14955,Dimethyl sulfoxide,46.7000
KKKCsGeFFClBrBrI,-0.19155,-0.0704,0.12115,Chlorofom,4.8060
KKKCsGeFFClBrII,-0.16952,-0.06423,0.10529,n-hexadecane,2.0600
KKKCsGeFFClClBrBr,-0.21582,-0.06709,0.14873,Benzene,2.2840
KKKCsGeFFClClClBr,-0.18462,-0.03645,0.14817,Nitrobenzene,35.7000
KKKCsGeFFClClClI,-0.20747,-0.04138,0.16609,Acetonitrile,37.5000
KKKCsGeFFFBrBrI,-0.19696,-0.03814,0.15882,Ethanol,24.3000
KKKCsGeFFFBrII,-0.1652,-0.03116,0.13404,n-hexadecane,2.0600
KKKCsGeFFFClBrBr,-0.22334,-0.04739,0.17595,Acetonitrile,37.5000
KKKCsGeFFFFFBr,-0.21175,-0.0352,0.17655,Water,78.5400
KKKCsGeFFFFFF,-0.17883,-0.05283,0.126,Carbon tetrachloride,2.2380
KKKCsGeFFFIII,-0.18211,-0.04553,0.13658,Ethanol,24.3000
KKKCsGeFFIIII,-0.17482,-0.04633,0.12849,Methylene chloride,9.0800
KKKCsGeIIIIII,-0.17285,-0.04555,0.1273,n-hexadecane,2.0600
KKKCsPbBrBrBrBrBrBr,-0.20525,-0.05352,0.15173,Dimethyl sulfoxide,46.7000
KKKCsPbBrIIIII,-0.18912,-0.05827,0.13085,Carbon tetrachloride,2.2380
KKKCsPbClClBrBrBrBr,-0.20231,-0.04875,0.15356,Pyridine,12.3000
KKKCsPbClClBrBrBrI,-0.20433,-0.08104,0.12329,n-hexadecane,2.0600
KKKCsPbClClClBrBrBr,-0.2051,-0.04907,0.15603,Ethanol,24.3000
KKKCsPbClClClBrII,-0.18228,-0.03867,0.14361,n-hexadecane,2.0600
KKKCsPbFBrBrBrBrBr,-0.19173,-0.04608,0.14565,Diethyl ether,4.3350
KKKCsPbFClBrIII,-0.18229,-0.04384,0.13845,Benzene,2.2840
KKKCsPbFClClBrBrBr,-0.20567,-0.07414,0.13153,Diethyl ether,4.3350
KKKCsPbFClClClClCl,-0.20614,-0.03822,0.16792,Water,78.5400
KKKCsPbFClClClII,-0.19893,-0.04768,0.15125,Nitrobenzene,35.7000
KKKCsPbFFBrBrBrBr,-0.17666,-0.03203,0.14463,n-hexane,1.8900
KKKCsPbFFBrIII,-0.1871,-0.04445,0.14265,Chlorofom,4.8060
KKKCsPbFFClClClI,-0.19942,-0.05286,0.14656,Carbon tetrachloride,2.2380
KKKCsPbFFFBrII,-0.19653,-0.07397,0.12256,Chlorofom,4.8060
KKKCsPbFFFFBrBr,-0.20324,-0.03498,0.16826,Ethanol,24.3000
KKKCsPbFFFFClI,-0.20389,-0.04386,0.16003,Pyridine,12.3000
KKKCsPbFFFFII,-0.20785,-0.05178,0.15607,Acetonitrile,37.5000
KKKCsPbFFFIII,-0.19813,-0.05346,0.14467,Acetone,20.7000
KKKCsSnBrBrBrIII,-0.18314,-0.05897,0.12417,Nitrobenzene,35.7000
KKKCsSnBrIIIII,-0.18396,-0.05934,0.12462,Dimethyl sulfoxide,46.7000
KKKCsSnClBrBrBrBrBr,-0.17108,-0.03886,0.13222,Diethyl ether,4.3350
KKKCsSnClBrIIII,-0.1828,-0.06025,0.12255,Methylene chloride,9.0800
KKKCsSnClClClBrBrBr,-0.16646,-0.03113,0.13533,Chlorofom,4.8060
KKKCsSnClClClClClBr,-0.18225,-0.03392,0.14833,Nitrobenzene,35.7000
KKKCsSnClClClClClCl,-0.17083,-0.02725,0.14358,Diethyl ether,4.3350
KKKCsSnClClClClII,-0.18373,-0.04414,0.13959,Nitrobenzene,35.7000
KKKCsSnFClBrBrBrI,-0.17977,-0.04022,0.13955,Methanol,32.6300
KKKCsSnFClClBrBrBr,-0.19754,-0.05855,0.13899,Diethyl ether,4.3350
KKKCsSnFClClClBrBr,-0.15954,-0.0277,0.13184,n-hexane,1.8900
KKKCsSnFClClClClBr,-0.17959,-0.02902,0.15057,Nitrobenzene,35.7000
KKKCsSnFClClClClCl,-0.20562,-0.04054,0.16508,Water,78.5400
KKKCsSnFClClClII,-0.18016,-0.0407,0.13946,Ethanol,24.3000
KKKCsSnFClClIII,-0.16292,-0.03887,0.12405,Carbon tetrachloride,2.2380
KKKCsSnFClIIII,-0.18385,-0.05749,0.12636,Dimethyl sulfoxide,46.7000
KKKCsSnFFClBrII,-0.17589,-0.04058,0.13531,Nitrobenzene,35.7000
KKKCsSnFFClIII,-0.17708,-0.05156,0.12552,Methylene chloride,9.0800
KKKCsSnFFFBrBrBr,-0.17475,-0.02973,0.14502,Acetonitrile,37.5000
KKKCsSnFFFClBrI,-0.17354,-0.02657,0.14697,Acetonitrile,37.5000
KKKCsSnFFFClClBr,-0.1745,-0.02405,0.15045,Dimethyl sulfoxide,46.7000
KKKCsSnFFFFBrBr,-0.19691,-0.03563,0.16128,Pyridine,12.3000
KKKCsSnFFFFClBr,-0.19925,-0.04789,0.15136,Carbon tetrachloride,2.2380
KKKCsSnFFFFClI,-0.17124,-0.02473,0.14651,Acetone,20.7000
KKKCsSnFFFFII,-0.17367,-0.06667,0.107,n-hexadecane,2.0600
KKKCsSnIIIIII,-0.17144,-0.05363,0.11781,n-hexadecane,2.0600
KKKKGeBrBrBrIII,-0.18783,-0.05603,0.1318,Pyridine,12.3000
KKKKGeBrIIIII,-0.18685,-0.0566,0.13025,Pyridine,12.3000
KKKKGeClClBrBrBrI,-0.17791,-0.07562,0.10229,Carbon tetrachloride,2.2380
KKKKGeClClClBrBrBr,-0.18946,-0.042,0.14746,Acetonitrile,37.5000
KKKKGeClClClBrBrI,-0.18908,-0.05153,0.13755,Chlorofom,4.8060
KKKKGeClClClClClBr,-0.18314,-0.04237,0.14077,Benzene,2.2840
KKKKGeClClClClClCl,-0.19259,-0.06566,0.12693,n-hexadecane,2.0600
KKKKGeClClClClII,-0.17826,-0.0695,0.10876,n-hexadecane,2.0600
KKKKGeClClClIII,-0.18004,-0.07049,0.10955,n-hexane,1.8900
KKKKGeFClBrBrII,-0.20374,-0.08102,0.12272,Ethanol,24.3000
KKKKGeFClBrIII,-0.20178,-0.06278,0.139,Methanol,32.6300
KKKKGeFClClBrBrI,-0.20188,-0.05312,0.14876,Methanol,32.6300
KKKKGeFClClClBrBr,-0.20302,-0.06059,0.14243,Ethanol,24.3000
KKKKGeFClClClBrI,-0.17883,-0.02966,0.14917,Chlorofom,4.8060
KKKKGeFClClClClCl,-0.20385,-0.04537,0.15848,Benzene,2.2840
KKKKGeFClIIII,-0.18745,-0.05448,0.13297,Methanol,32.6300
KKKKGeFFBrBrBrI,-0.18574,-0.04783,0.13791,Ethanol,24.3000
KKKKGeFFBrIII,-0.17175,-0.04089,0.13086,Chlorofom,4.8060
KKKKGeFFClClClBr,-0.18248,-0.02492,0.15756,Nitrobenzene,35.7000
KKKKGeFFClClClI,-0.18288,-0.02626,0.15662,Methylene chloride,9.0800
NaRbCsCsPbFFFBrBrI,-0.1864,-0.06353,0.12287,n-hexane,1.8900
NaRbCsCsPbFFFClClCl,-0.21954,-0.05814,0.1614,Acetone,20.7000
NaRbCsCsPbFFFFBrBr,-0.19229,-0.04518,0.14711,n-hexane,1.8900
NaRbCsCsPbFFFFClCl,-0.1962,-0.04289,0.15331,Carbon tetrachloride,2.2380
NaRbCsCsPbFFFFFI,-0.1772,-0.04135,0.13585,n-hexane,1.8900
NaRbCsCsPbFFIIII,-0.18609,-0.07128,0.11481,Benzene,2.2840
NaRbCsCsPbIIIIII,-0.18484,-0.0566,0.12824,n-hexadecane,2.0600
NaRbCsCsSnBrBrBrBrBrBr,-0.18147,-0.05506,0.12641,Chlorofom,4.8060
NaRbCsCsSnBrBrBrBrBrI,-0.18914,-0.06766,0.12148,Acetonitrile,37.5000
NaRbCsCsSnBrBrBrIII,-0.19026,-0.06895,0.12131,Ethanol,24.3000
NaRbCsCsSnClBrIIII,-0.18749,-0.06598,0.12151,Methanol,32.6300
NaRbCsCsSnClClClBrBrBr,-0.18701,-0.05361,0.1334,Acetonitrile,37.5000
NaRbCsCsSnClClClBrBrI,-0.17961,-0.06052,0.11909,n-hexadecane,2.0600
NaRbCsCsSnClClClClClCl,-0.1862,-0.05297,0.13323,Methylene chloride,9.0800
NaRbCsCsSnClClClClII,-0.18131,-0.05223,0.12908,Chlorofom,4.8060
NaRbCsCsSnClClIIII,-0.18751,-0.06909,0.11842,Ethanol,24.3000
NaRbCsCsSnFBrIIII,-0.16401,-0.04094,0.12307,Benzene,2.2840
NaRbCsCsSnFClBrBrBrBr,-0.17124,-0.034,0.13724,Diethyl ether,4.3350
NaRbCsCsSnFClClClBrBr,-0.17815,-0.03238,0.14577,Methylene chloride,9.0800
NaRbCsCsSnFClClClBrI,-0.16761,-0.0315,0.13611,Diethyl ether,4.3350
NaRbCsCsSnFClClClClBr,-0.20139,-0.06478,0.13661,Acetone,20.7000
NaRbCsCsSnFClClClClI,-0.16205,-0.0312,0.13085,Benzene,2.2840
NaRbCsCsSnFClClClII,-0.17247,-0.03981,0.13266,Chlorofom,4.8060
NaRbCsCsSnFClIIII,-0.18434,-0.05826,0.12608,Ethanol,24.3000
NaRbCsCsSnFFClClBrBr,-0.17886,-0.03713,0.14173,Dimethyl sulfoxide,46.7000
NaRbCsCsSnFFClIII,-0.16464,-0.03455,0.13009,Chlorofom,4.8060
NaRbCsCsSnFFFClClI,-0.15796,-0.0271,0.13086,n-hexadecane,2.0600
