fomula,homo,lumo,band gap,cosmoname,cosmodata
LiLiLiCsSnFFBrBrBrBr,-0.20069,-0.07975,0.12094,Pyridine,12.3000
LiLiLiCsSnFFBrBrII,-0.2225,-0.0789,0.1436,Methanol,32.6300
LiLiLiCsSnFFBrIII,-0.2195,-0.07715,0.14235,Chlorofom,4.8060
LiLiLiCsSnFFClBrBrBr,-0.22858,-0.07368,0.1549,Carbon tetrachloride,2.2380
LiLiLiCsSnFFClClClI,-0.18624,-0.09214,0.0941,Carbon tetrachloride,2.2380
LiLiLiCsSnFFClClII,-0.21579,-0.09524,0.12055,n-hexadecane,2.0600
LiLiLiCsSnFFClIII,-0.19446,-0.06197,0.13249,Diethyl ether,4.3350
LiLiLiCsSnFFFBrBrI,-0.21198,-0.07706,0.13492,n-hexadecane,2.0600
LiLiLiCsSnFFFClBrBr,-0.20727,-0.06414,0.14313,Diethyl ether,4.3350
LiLiLiCsSnFFFClII,-0.20591,-0.06366,0.14225,Nitrobenzene,35.7000
LiLiLiCsSnFFFFBrI,-0.1958,-0.07037,0.12543,n-hexadecane,2.0600
LiLiLiCsSnFFFFClI,-0.18816,-0.0725,0.11566,n-hexadecane,2.0600
LiLiLiCsSnFFFFFBr,-0.22157,-0.05515,0.16642,Methanol,32.6300
LiLiLiCsSnFIIIII,-0.20272,-0.08011,0.12261,Acetone,20.7000
LiLiLiKGeBrBrBrBrBrI,-0.21025,-0.07919,0.13106,Methanol,32.6300
LiLiLiKGeBrBrBrIII,-0.20781,-0.09042,0.11739,n-hexane,1.8900
LiLiLiKGeClBrBrBrBrI,-0.22579,-0.08823,0.13756,Ethanol,24.3000
LiLiLiKGeClClBrBrBrI,-0.21411,-0.07922,0.13489,Ethanol,24.3000
LiLiLiKGeClClBrBrII,-0.21378,-0.08263,0.13115,Ethanol,24.3000
LiLiLiKGeClClClBrBrI,-0.20957,-0.07295,0.13662,Ethanol,24.3000
LiLiLiKGeClClClBrII,-0.21044,-0.08107,0.12937,Chlorofom,4.8060
LiLiLiKGeClClClClBrBr,-0.21403,-0.06957,0.14446,Ethanol,24.3000
LiLiLiKGeClClClClClBr,-0.22905,-0.06946,0.15959,Benzene,2.2840
LiLiLiKGeClClClClClCl,-0.22696,-0.09139,0.13557,Chlorofom,4.8060
LiLiLiKGeFBrBrBrII,-0.20824,-0.0811,0.12714,Chlorofom,4.8060
LiLiLiKGeFBrIIII,-0.20809,-0.08378,0.12431,Diethyl ether,4.3350
LiLiLiKGeFClClClBrI,-0.21578,-0.07541,0.14037,Methanol,32.6300
LiLiLiKGeFClClClClBr,-0.21823,-0.07329,0.14494,Methylene chloride,9.0800
LiLiLiKGeFClClClClCl,-0.2234,-0.06694,0.15646,Dimethyl sulfoxide,46.7000
LiLiLiKGeFFBrBrBrBr,-0.21582,-0.07917,0.13665,n-hexadecane,2.0600
LiLiLiKGeFFBrBrBrI,-0.20036,-0.05592,0.14444,Acetone,20.7000
LiLiLiKGeFFClClBrI,-0.21688,-0.09776,0.11912,n-hexadecane,2.0600
LiLiLiKGeFFClClClCl,-0.23338,-0.07227,0.16111,n-hexane,1.8900
LiLiLiKGeFFFClClBr,-0.22034,-0.05731,0.16303,n-hexane,1.8900
LiLiLiKGeFFFFBrBr,-0.21221,-0.04076,0.17145,n-hexane,1.8900
LiLiLiKGeFFFFClI,-0.21574,-0.0582,0.15754,Acetonitrile,37.5000
LiLiLiKGeFFFFFI,-0.22062,-0.0645,0.15612,Benzene,2.2840
LiLiLiKGeFFFFII,-0.21342,-0.04457,0.16885,Acetonitrile,37.5000
LiLiLiKPbClBrBrBrBrI,-0.23987,-0.09994,0.13993,Carbon tetrachloride,2.2380
LiLiLiKPbClClBrBrBrBr,-0.23444,-0.09504,0.1394,Chlorofom,4.8060
LiLiLiKPbClClBrBrII,-0.22761,-0.11561,0.112,n-hexadecane,2.0600
LiLiLiKPbClClBrIII,-0.21983,-0.11348,0.10635,Carbon tetrachloride,2.2380
LiLiLiKPbClClClBrBrI,-0.21944,-0.09565,0.12379,n-hexadecane,2.0600
LiLiLiKPbClClClClBrI,-0.22482,-0.08485,0.13997,Nitrobenzene,35.7000
LiLiLiKPbClClClClClBr,-0.24112,-0.08853,0.15259,Water,78.5400
LiLiLiKPbClClClClClCl,-0.23671,-0.08005,0.15666,Ethanol,24.3000
LiLiLiKPbClClIIII,-0.22088,-0.10228,0.1186,Chlorofom,4.8060
LiLiLiKPbClIIIII,-0.21322,-0.10504,0.10818,Nitrobenzene,35.7000
LiLiLiKPbFBrBrBrBrBr,-0.22651,-0.08314,0.14337,Dimethyl sulfoxide,46.7000
LiLiLiKPbFBrBrBrBrI,-0.2246,-0.09683,0.12777,Nitrobenzene,35.7000
LiLiLiKPbFBrIIII,-0.21153,-0.09751,0.11402,n-hexadecane,2.0600
LiLiLiKPbFClBrBrBrI,-0.21992,-0.10068,0.11924,Pyridine,12.3000
LiLiLiKPbFClBrIII,-0.21454,-0.11175,0.10279,Dimethyl sulfoxide,46.7000
LiLiLiKPbFClClBrBrBr,-0.24045,-0.10459,0.13586,Chlorofom,4.8060
LiLiLiKPbFClClBrII,-0.21647,-0.12059,0.09588,Carbon tetrachloride,2.2380
LiLiLiKPbFFBrBrBrBr,-0.23088,-0.10163,0.12925,Carbon tetrachloride,2.2380
LiLiLiKPbFFFBrBrBr,-0.22787,-0.09175,0.13612,Carbon tetrachloride,2.2380
LiLiLiKPbFFFClClI,-0.22172,-0.08142,0.1403,Benzene,2.2840
LiLiLiKPbFFFFClBr,-0.2331,-0.07828,0.15482,Diethyl ether,4.3350
