feature,score
A1D,0.18050577167552495
A1MP,0.17517587638083576
A1AR,0.17517587638083487
A1NN,0.17517587638083487
A2AM,0.15737618102686213
A2MP,0.15737618102686213
A3AM,0.1312787028561475
A3MP,0.1312787028561475
A4AM,0.08130020722246956
A4MP,0.08130020722246911
X4AM,0.07233446247915776
X5AM,0.06288284026693303
X3AM,0.057557648226750135
X2AM,0.03820551426544183
X6AM,0.03352315306500131
BE,0.03168645278189741
BFI,0.03168645278189741
BAM,0.03168645278189741
solvent,0.02198955380885348
X1AM,0.015927976989331682
