feature,score
A1MP,0.2954934027642236
A2MP,0.26420210544293043
A3MP,0.219342636951643
A1AR,0.20730768616113626
X5AM,0.20008498045955456
A3AM,0.1941535795702795
BE,0.18750320455587818
X4AM,0.18019272075857976
A2AM,0.1755526389600795
A1D,0.17344856908526257
X3AM,0.1580385799875604
A4MP,0.15510834116496797
A4AM,0.14435954726269823
X2AM,0.14348257845873383
X6AM,0.1197701383452556
A1NN,0.1169249854027714
BAM,0.11223224416475795
BFI,0.07194005429449563
X1AM,0.0715045426024757
solvent,0.06611846298804153
